Company,Gründer,Link
BRYTER,Micha-Manuel Bues,https://www.linkedin.com/in/michamanuelbues/
bugshell,,https://www.linkedin.com/company/bugshellcom/
bugshell,Volker Horst Haupt,https://www.linkedin.com/in/volker-haupt-302461a4/
bugshell,Kristian Moldskred,
bugshell,Pierre Pronchery,
bugshell,Jakob Semmler,https://www.linkedin.com/in/jakob-semmler-858437158/
Smart Platforms GmbH,,https://www.linkedin.com/company/smart-platforms-gmbh/
Smart Platforms GmbH,Angelika Hundt,
Smart Platforms GmbH,Michael Theodor Korbik,
CALLSTR,,https://www.linkedin.com/company/callstr/product/
CALLSTR,Melanie Mahr,https://www.linkedin.com/in/melaniemahr/
carTrust,,https://www.linkedin.com/company/cartrust/
carTrust,Joseph Niro,https://www.linkedin.com/in/joseph-niro-1b0649b/
carTrust,Jason Cook,https://www.linkedin.com/in/jason-cook-89343513/?originalSubdomain=uk
Civey,,https://www.linkedin.com/company/civey/
Civey,Gerrit Richter,https://www.linkedin.com/in/gerrit-richter/
Civocracy 📢,,https://www.linkedin.com/company/civocracy/
clarifydata GmbH,,https://www.linkedin.com/company/clarifydata/
clarifydata GmbH,Lars Michael Hartke,
cloudaible GmbH,,https://www.linkedin.com/company/cloudaible-gmbh/
cloudaible GmbH,Stan Seeler,https://www.linkedin.com/in/stan-seeler-954765a8/
cloudaible GmbH,Matthias Damerow,https://www.linkedin.com/in/damerowm/
CLOUDSUPPLIES,,https://www.linkedin.com/company/cloudsupplies-intellimation-gmbh/
CLOUDSUPPLIES,Olaf Schaefers,https://www.linkedin.com/in/olaf-schaefers/
CLOUDSUPPLIES,Thomas Müller,https://www.linkedin.com/in/th-müller/
CoBenefit,,https://www.linkedin.com/company/cobenefit/
CoBenefit,Florian Bonert,https://www.linkedin.com/in/florianbonert/
CoBenefit,Leon Paul Trippel,https://www.linkedin.com/in/leon-trippel/
Code it!,,https://www.linkedin.com/company/code_it/
Code it!,Carsten Wehrle,
Code it!,Andreas Koch,https://www.linkedin.com/in/-andreas-koch/
Codefy,,https://www.linkedin.com/company/codefy-ai/
Codefy,Michael Gertz,
Codefy,Jakub Leszek Szypulka,
Codefy,Tianyu Yuan,https://www.linkedin.com/in/tianyu-yuan/
CogniBIT,,https://www.linkedin.com/company/cogni-bit/
CogniBIT,Lukas Adam Brostek,https://www.linkedin.com/in/lukas-brostek/
CogniBIT,Alexander Georg Knorr,https://www.linkedin.com/in/alex-knorr/
CogniBIT,Isabelle Teresa Garzorz,
comuneo,,https://www.linkedin.com/company/comuneo/
comuneo,Katharina von Stauffenberg,https://www.linkedin.com/in/annakatharinavonstauffenberg/
comuneo,Silke Sommer,https://www.linkedin.com/in/silke-sommer-4bbb48aa/
Communex,,https://www.linkedin.com/company/communex/
Communex,Stefan Nick Loth,https://www.linkedin.com/in/nickloth/
Communex,Dieter Sebastian Pfab,
Communex,Johannes Michael Kohler,
constellr,,https://www.linkedin.com/company/constellr/
constellr,Christian Mittermaier,https://www.linkedin.com/in/christian-mittermaier-9896a0132/
constellr,Max Gulde,https://www.linkedin.com/in/max-gulde-6563573/
contentflow,,https://www.linkedin.com/company/contentflow1/
contentflow,Sebastian Serafin,https://www.linkedin.com/in/sebastianserafin/
contentflow,Nino Mello Wagner,https://www.linkedin.com/in/nino-mello-wagner/
Convaise,,https://www.linkedin.com/company/convaise/
Convaise,Stefan Zitzlsperger,https://www.linkedin.com/in/zitzlsperger/
